Comment,Designator,Footprint,LCSC Part #
,J1,,C165948
5.1k,R1,,C25905
5.1k,R2,,C25905
27,R3,,C25100
27,R4,,C25100
,U1,,C2687116
10µ,C1,,C15850
,U2,,C6186
10µ,C2,,C15850
10µ,C3,,C15850
,U5,,C6186
10µ,C20,,C15850
10µ,C21,,C15850
10µ,C22,,C15850
10µ,C23,,C15850
,U3,,C2040
,U4,,C97521
,Y1,,C20625731
1k,R11,,C11702
15p,C15,,C1548
15p,C16,,C1548
100n,C14,,C1525
1k,R13,,C11702
,SW2,,C318884
10k,R12,,C25744
,SW3,,C318884
100n,C4,,C1525
100n,C5,,C1525
100n,C6,,C1525
100n,C7,,C1525
100n,C8,,C1525
100n,C9,,C1525
100n,C10,,C1525
100n,C11,,C1525
1µ,C12,,C52923
100n,C13,,C1525
10µ,C17,,C15850
330,R30,,C25104
,D10,,C2761795
100n,C40,,C1525
,D11,,C2761795
100n,C41,,C1525
,D12,,C2761795
100n,C42,,C1525
,D13,,C2761795
100n,C43,,C1525
,D14,,C2761795
100n,C44,,C1525
,D15,,C2761795
100n,C45,,C1525
,D16,,C2761795
100n,C46,,C1525
,D17,,C2761795
100n,C47,,C1525
,SW1,,C318884
,SW4,,C318884
,LED1,,C2297
1k,R20,,C11702
