Designator,Mid X,Mid Y,Rotation,Layer
J1,0.000,-29.425,0,top
R1,-4.000,-22.000,0,top
R2,-1.500,-22.000,0,top
R3,1.500,-22.000,0,top
R4,4.000,-22.000,0,top
U1,0.000,-19.000,0,top
C1,8.000,-22.000,0,top
U2,11.000,-11.000,0,top
C2,9.000,-17.000,0,top
C3,16.000,-17.000,0,top
U5,-12.000,-11.000,0,top
C20,-14.000,-17.000,0,top
C21,-7.000,-17.000,0,top
C22,-18.500,-19.500,0,top
C23,18.500,-19.500,0,top
U3,-2.000,11.000,0,top
U4,11.000,11.000,0,top
Y1,-2.000,0.500,0,top
R11,4.000,0.500,0,top
C15,-6.500,0.500,0,top
C16,1.200,0.500,0,top
C14,11.000,4.500,0,top
R13,6.000,5.000,0,top
SW2,6.000,-4.500,0,top
R12,-10.000,5.000,0,top
SW3,-10.000,-4.500,0,top
C4,-8.000,17.000,0,top
C5,-5.000,17.000,0,top
C6,-2.000,17.000,0,top
C7,1.000,17.000,0,top
C8,4.000,17.000,0,top
C9,-8.000,5.000,0,top
C10,-5.000,5.000,0,top
C11,-2.000,5.000,0,top
C12,1.000,5.000,0,top
C13,4.000,5.000,0,top
C17,7.000,17.000,0,top
R30,-17.000,3.000,0,top
D10,-10.715,-25.869,337.5,top
C40,-12.322,-29.749,337.5,top
D11,-25.869,-10.715,292.5,top
C41,-29.749,-12.322,292.5,top
D12,-25.869,10.715,247.5,top
C42,-29.749,12.322,247.5,top
D13,-10.715,25.869,202.49999999999994,top
C43,-12.322,29.749,202.49999999999994,top
D14,10.715,25.869,157.5,top
C44,12.322,29.749,157.5,top
D15,25.869,10.715,112.5,top
C45,29.749,12.322,112.5,top
D16,25.869,-10.715,67.5,top
C46,29.749,-12.322,67.5,top
D17,10.715,-25.869,22.5,top
C47,12.322,-29.749,22.5,top
SW1,-2.000,-4.200,0,top
SW4,18.500,2.000,0,top
LED1,-20.000,-3.000,0,top
R20,-20.000,-0.500,0,top
TP1,15.960,9.500,0,top
TP2,18.500,9.500,0,top
TP3,21.040,9.500,0,top
