Comment,Designator,Footprint,LCSC Part #
,J1,,C165948
5.1k,R1,,C25905
5.1k,R2,,C25905
27,R3,,C25100
27,R4,,C25100
,U1,,C2687116
1µ,C1,,C52923
,U2,,C500795
10µ,C2,,C19702
10µ,C3,,C19702
,U3,,C2040
,U4,,C97521
,Y1,,C20625731
1k,R11,,C11702
15p,C15,,C1548
15p,C16,,C1548
100n,C14,,C1525
1k,R13,,C11702
,SW2,,C318884
10k,R12,,C25744
,SW3,,C318884
100n,C4,,C1525
100n,C5,,C1525
100n,C6,,C1525
100n,C7,,C1525
100n,C8,,C1525
100n,C9,,C1525
100n,C10,,C1525
100n,C11,,C1525
100n,C12,,C1525
100n,C13,,C1525
1µ,C25,,C52923
1µ,C26,,C52923
10µ,C17,,C15850
1M,R30,,C26083
1M,R31,,C26083
1k,R32,,C11702
1k,R33,,C11702
,LED1,,C2297
1k,R20,,C11702
,LED2,,C2297
1k,R21,,C11702
,SW1,,C318884
