Designator,Mid X,Mid Y,Rotation,Layer
J1,0.000,-34.425,0,top
R1,-4.000,-27.000,0,top
R2,-1.500,-27.000,0,top
R3,1.500,-27.000,0,top
R4,4.000,-27.000,0,top
U1,0.000,-24.000,0,top
C1,8.000,-27.000,0,top
U2,14.000,-18.000,0,top
C2,12.000,-24.000,0,top
C3,19.000,-24.000,0,top
U3,-20.000,-22.000,180,top
U4,-33.000,-22.000,180,top
Y1,-20.000,-11.500,180,top
R11,-26.000,-11.500,180,top
C15,-15.500,-11.500,180,top
C16,-23.200,-11.500,180,top
C14,-33.000,-15.500,180,top
R13,-28.000,-16.000,180,top
SW2,-28.000,-6.500,180,top
R12,-12.000,-16.000,180,top
SW3,-12.000,-6.500,180,top
C4,-14.000,-28.000,180,top
C5,-17.000,-28.000,180,top
C6,-20.000,-28.000,180,top
C7,-23.000,-28.000,180,top
C8,-26.000,-28.000,180,top
C9,-14.000,-16.000,180,top
C10,-17.000,-16.000,180,top
C11,-20.000,-16.000,180,top
C12,-23.000,-16.000,180,top
C13,-26.000,-16.000,180,top
C17,-29.000,-28.000,180,top
R30,-2.000,-6.000,0,top
R31,2.000,-6.000,0,top
R32,-8.000,2.000,0,top
R33,8.000,2.000,0,top
LED1,-11.000,-35.500,0,top
R20,-11.000,-33.000,0,top
LED2,-16.000,-35.500,0,top
R21,-16.000,-33.000,0,top
SW1,29.000,-24.000,0,top
TP1,-2.540,-12.000,0,top
TP2,0.000,-12.000,0,top
TP3,2.540,-12.000,0,top
