Designator,Mid X,Mid Y,Rotation,Layer
D1,-46.400,31.600,0,top
SW10,-45.000,36.000,0,top
D2,-36.400,31.600,0,top
SW11,-35.000,36.000,0,top
D3,-26.400,31.600,0,top
SW12,-25.000,36.000,0,top
D4,-16.400,31.600,0,top
SW13,-15.000,36.000,0,top
D5,-6.400,31.600,0,top
SW14,-5.000,36.000,0,top
D6,3.600,31.600,0,top
SW15,5.000,36.000,0,top
D7,13.600,31.600,0,top
SW16,15.000,36.000,0,top
D8,23.600,31.600,0,top
SW17,25.000,36.000,0,top
D9,33.600,31.600,0,top
SW18,35.000,36.000,0,top
D10,43.600,31.600,0,top
SW19,45.000,36.000,0,top
D11,-46.400,21.600,0,top
SW20,-45.000,26.000,0,top
D12,-36.400,21.600,0,top
SW21,-35.000,26.000,0,top
D13,-26.400,21.600,0,top
SW22,-25.000,26.000,0,top
D14,-16.400,21.600,0,top
SW23,-15.000,26.000,0,top
D15,-6.400,21.600,0,top
SW24,-5.000,26.000,0,top
D16,3.600,21.600,0,top
SW25,5.000,26.000,0,top
D17,13.600,21.600,0,top
SW26,15.000,26.000,0,top
D18,23.600,21.600,0,top
SW27,25.000,26.000,0,top
D19,33.600,21.600,0,top
SW28,35.000,26.000,0,top
D20,43.600,21.600,0,top
SW29,45.000,26.000,0,top
D21,-46.400,11.600,0,top
SW30,-45.000,16.000,0,top
D22,-36.400,11.600,0,top
SW31,-35.000,16.000,0,top
D23,-26.400,11.600,0,top
SW32,-25.000,16.000,0,top
D24,-16.400,11.600,0,top
SW33,-15.000,16.000,0,top
D25,-6.400,11.600,0,top
SW34,-5.000,16.000,0,top
D26,3.600,11.600,0,top
SW35,5.000,16.000,0,top
D27,13.600,11.600,0,top
SW36,15.000,16.000,0,top
D28,23.600,11.600,0,top
SW37,25.000,16.000,0,top
D29,33.600,11.600,0,top
SW38,35.000,16.000,0,top
D30,43.600,11.600,0,top
SW39,45.000,16.000,0,top
D31,-46.400,1.600,0,top
SW40,-45.000,6.000,0,top
D32,-36.400,1.600,0,top
SW41,-35.000,6.000,0,top
D33,-26.400,1.600,0,top
SW42,-25.000,6.000,0,top
D34,-16.400,1.600,0,top
SW43,-15.000,6.000,0,top
D35,-6.400,1.600,0,top
SW44,-5.000,6.000,0,top
D36,3.600,1.600,0,top
SW45,5.000,6.000,0,top
D37,13.600,1.600,0,top
SW46,15.000,6.000,0,top
D38,23.600,1.600,0,top
SW47,25.000,6.000,0,top
D39,33.600,1.600,0,top
SW48,35.000,6.000,0,top
D40,43.600,1.600,0,top
SW49,45.000,6.000,0,top
D41,-46.400,-8.400,0,top
SW50,-45.000,-4.000,0,top
D42,-36.400,-8.400,0,top
SW51,-35.000,-4.000,0,top
D43,-26.400,-8.400,0,top
SW52,-25.000,-4.000,0,top
D44,-16.400,-8.400,0,top
SW53,-15.000,-4.000,0,top
D45,-6.400,-8.400,0,top
SW54,-5.000,-4.000,0,top
D46,3.600,-8.400,0,top
SW55,5.000,-4.000,0,top
D47,13.600,-8.400,0,top
SW56,15.000,-4.000,0,top
D48,23.600,-8.400,0,top
SW57,25.000,-4.000,0,top
D49,33.600,-8.400,0,top
SW58,35.000,-4.000,0,top
D50,43.600,-8.400,0,top
SW59,45.000,-4.000,0,top
U3,0.000,-25.000,0,top
U4,13.000,-25.000,0,top
Y1,0.000,-35.500,0,top
R11,6.000,-35.500,0,top
C15,-4.500,-35.500,0,top
C16,3.200,-35.500,0,top
C14,13.000,-31.500,0,top
R13,8.000,-31.000,0,top
SW2,8.000,-40.500,0,top
R12,-8.000,-31.000,0,top
SW3,-8.000,-40.500,0,top
C4,-6.000,-19.000,0,top
C5,-3.000,-19.000,0,top
C6,0.000,-19.000,0,top
C7,3.000,-19.000,0,top
C8,6.000,-19.000,0,top
C9,-6.000,-31.000,0,top
C10,-3.000,-31.000,0,top
C11,0.000,-31.000,0,top
C12,3.000,-31.000,0,top
C13,6.000,-31.000,0,top
C17,9.000,-19.000,0,top
J1,-23.000,-40.925,0,top
R1,-27.000,-33.500,0,top
R2,-24.500,-33.500,0,top
R3,-21.500,-33.500,0,top
R4,-19.000,-33.500,0,top
U1,-23.000,-30.500,0,top
C1,-15.000,-33.500,0,top
U2,-40.000,-27.000,0,top
C2,-42.000,-33.000,0,top
C3,-35.000,-33.000,0,top
LED1,-45.800,-32.000,0,top
R20,-45.800,-29.500,0,top
TP1,35.460,-33.000,0,top
TP2,38.000,-33.000,0,top
TP3,40.540,-33.000,0,top
