Designator,Mid X,Mid Y,Rotation,Layer
J1,-1.820,-27.155,0,top
R1,-6.820,-19.730,0,top
R2,3.180,-19.730,0,top
R3,-4.020,-16.230,0,top
R4,0.380,-16.230,0,top
U1,-1.820,-12.230,0,top
C1,6.180,-19.730,0,top
U2,-31.340,17.610,0,top
C2,-33.340,11.610,0,top
C3,-26.340,11.610,0,top
U3,-8.420,21.200,0,top
U4,4.580,21.200,0,top
Y1,-8.420,10.700,0,top
R11,-2.420,10.700,0,top
C15,-12.920,10.700,0,top
C16,-5.220,10.700,0,top
C14,4.580,14.700,0,top
R13,-0.420,15.200,0,top
SW2,-0.420,5.700,0,top
R12,-16.420,15.200,0,top
SW3,-16.420,5.700,0,top
C4,-14.420,27.200,0,top
C5,-11.420,27.200,0,top
C6,-8.420,27.200,0,top
C7,-5.420,27.200,0,top
C8,-2.420,27.200,0,top
C9,-14.420,15.200,0,top
C10,-11.420,15.200,0,top
C11,-8.420,15.200,0,top
C12,-5.420,15.200,0,top
C13,-2.420,15.200,0,top
C17,0.580,27.200,0,top
R8,13.390,15.690,0,top
R9,15.390,15.690,0,top
LED1,19.590,14.630,0,top
R20,19.590,17.130,0,top
LED2,24.430,14.630,0,top
R21,24.430,17.130,0,top
LED3,29.270,14.630,0,top
R22,29.270,17.130,0,top
LED4,34.110,14.630,0,top
R23,34.110,17.130,0,top
SW1,-4.500,-3.740,0,top
SW4,4.500,-3.740,0,top
TP1,-37.540,-8.200,0,top
TP2,-35.000,-8.200,0,top
TP3,-32.460,-8.200,0,top
TP11,-18.810,-8.200,0,top
TP12,-16.270,-8.200,0,top
TP13,-13.730,-8.200,0,top
TP14,-11.190,-8.200,0,top
TP21,11.190,-8.200,0,top
TP22,13.730,-8.200,0,top
TP23,16.270,-8.200,0,top
TP24,18.810,-8.200,0,top
