Designator,Mid X,Mid Y,Rotation,Layer
J1,-1.820,-27.655,0,top
R1,-6.820,-20.230,0,top
R2,3.180,-20.230,0,top
R3,-4.020,-16.730,0,top
R4,0.380,-16.730,0,top
U1,-1.820,-12.730,0,top
C1,6.180,-20.230,0,top
U2,13.640,18.110,0,top
C2,11.640,12.110,0,top
C3,18.640,12.110,0,top
U3,-8.570,21.700,0,top
U4,4.430,21.700,0,top
Y1,-8.570,11.200,0,top
R11,-2.570,11.200,0,top
C15,-13.070,11.200,0,top
C16,-5.370,11.200,0,top
C14,4.430,15.200,0,top
R13,-0.570,15.700,0,top
SW2,-0.570,6.200,0,top
R12,-16.570,15.700,0,top
SW3,-16.570,6.200,0,top
C4,-14.570,27.700,0,top
C5,-11.570,27.700,0,top
C6,-8.570,27.700,0,top
C7,-5.570,27.700,0,top
C8,-2.570,27.700,0,top
C9,-14.570,15.700,0,top
C10,-11.570,15.700,0,top
C11,-8.570,15.700,0,top
C12,-5.570,15.700,0,top
C13,-2.570,15.700,0,top
C17,0.430,27.700,0,top
U5,-12.120,-0.240,0,top
C18,-15.120,-0.240,0,top
C19,-9.120,-0.240,0,top
R8,-5.560,-0.240,0,top
R9,-3.560,-0.240,0,top
LED1,0.640,-1.300,0,top
R20,0.640,1.200,0,top
LED2,5.480,-1.300,0,top
R21,5.480,1.200,0,top
SW1,12.400,-0.240,0,top
TP1,-2.540,-6.960,0,top
TP2,0.000,-6.960,0,top
TP3,2.540,-6.960,0,top
