Designator,Mid X,Mid Y,Rotation,Layer
J1,-1.820,-29.255,0,top
R1,-6.820,-21.830,0,top
R2,3.180,-21.830,0,top
R3,-4.020,-18.330,0,top
R4,0.380,-18.330,0,top
U1,-1.820,-14.330,0,top
C1,6.180,-21.830,0,top
U2,-33.070,14.610,0,top
C2,-35.070,8.610,0,top
C3,-28.070,8.610,0,top
U3,-13.150,18.200,0,top
U4,-0.150,18.200,0,top
Y1,-13.150,7.700,0,top
R11,-7.150,7.700,0,top
C15,-17.650,7.700,0,top
C16,-9.950,7.700,0,top
C14,-0.150,11.700,0,top
R13,-5.150,12.200,0,top
SW2,-5.150,2.700,0,top
R12,-21.150,12.200,0,top
SW3,-21.150,2.700,0,top
C4,-19.150,24.200,0,top
C5,-16.150,24.200,0,top
C6,-13.150,24.200,0,top
C7,-10.150,24.200,0,top
C8,-7.150,24.200,0,top
C9,-19.150,12.200,0,top
C10,-16.150,12.200,0,top
C11,-13.150,12.200,0,top
C12,-10.150,12.200,0,top
C13,-7.150,12.200,0,top
C17,-4.150,24.200,0,top
R8,5.660,12.690,0,top
R9,7.660,12.690,0,top
U5,14.220,12.690,0,top
C18,11.220,12.690,0,top
C19,17.220,12.690,0,top
U6,23.780,12.690,0,top
C20,20.780,12.690,0,top
C21,26.780,12.690,0,top
LED1,30.980,11.630,0,top
R20,30.980,14.130,0,top
LED2,35.820,11.630,0,top
R21,35.820,14.130,0,top
SW1,0.000,-3.740,0,top
TP1,-22.540,29.000,0,top
TP2,-20.000,29.000,0,top
TP3,-17.460,29.000,0,top
TP41,11.190,29.000,0,top
TP42,13.730,29.000,0,top
TP43,16.270,29.000,0,top
TP44,18.810,29.000,0,top
