Designator,Mid X,Mid Y,Rotation,Layer
J1,-1.820,-27.255,0,top
R1,-6.820,-19.830,0,top
R2,3.180,-19.830,0,top
R3,-4.020,-16.330,0,top
R4,0.380,-16.330,0,top
U1,-1.820,-12.330,0,top
C1,6.180,-19.830,0,top
U2,-35.200,11.410,0,top
C2,-37.200,5.410,0,top
C3,-30.200,5.410,0,top
U3,-15.280,15.000,0,top
U4,-2.280,15.000,0,top
Y1,-15.280,4.500,0,top
R11,-9.280,4.500,0,top
C15,-19.780,4.500,0,top
C16,-12.080,4.500,0,top
C14,-2.280,8.500,0,top
R13,-7.280,9.000,0,top
SW2,-7.280,-0.500,0,top
R12,-23.280,9.000,0,top
SW3,-23.280,-0.500,0,top
C4,-21.280,21.000,0,top
C5,-18.280,21.000,0,top
C6,-15.280,21.000,0,top
C7,-12.280,21.000,0,top
C8,-9.280,21.000,0,top
C9,-21.280,9.000,0,top
C10,-18.280,9.000,0,top
C11,-15.280,9.000,0,top
C12,-12.280,9.000,0,top
C13,-9.280,9.000,0,top
C17,-6.280,21.000,0,top
R8,13.090,9.490,0,top
R9,15.090,9.490,0,top
U5,6.530,9.490,0,top
C18,3.530,9.490,0,top
C19,9.530,9.490,0,top
LED1,19.290,8.430,0,top
R20,19.290,10.930,0,top
LED2,24.120,8.430,0,top
R21,24.120,10.930,0,top
LED3,28.970,8.430,0,top
R22,28.970,10.930,0,top
SW1,35.890,9.490,0,top
TP1,-5.080,-6.900,0,top
TP2,-2.540,-6.900,0,top
TP3,0.000,-6.900,0,top
TP4,2.540,-6.900,0,top
TP5,5.080,-6.900,0,top
