Designator,Mid X,Mid Y,Rotation,Layer
J1,-1.820,-22.715,0,top
R1,-6.820,-15.290,0,top
R2,3.180,-15.290,0,top
R3,-4.020,-11.790,0,top
R4,0.380,-11.790,0,top
U1,-1.820,-7.790,0,top
C1,6.180,-15.290,0,top
U2,-32.790,11.410,0,top
C2,-34.790,5.410,0,top
C3,-27.790,5.410,0,top
U3,-12.870,15.000,0,top
U4,0.130,15.000,0,top
Y1,-12.870,4.500,0,top
R11,-6.870,4.500,0,top
C15,-17.370,4.500,0,top
C16,-9.670,4.500,0,top
C14,0.130,8.500,0,top
R13,-4.870,9.000,0,top
SW2,-4.870,-0.500,0,top
R12,-20.870,9.000,0,top
SW3,-20.870,-0.500,0,top
C4,-18.870,21.000,0,top
C5,-15.870,21.000,0,top
C6,-12.870,21.000,0,top
C7,-9.870,21.000,0,top
C8,-6.870,21.000,0,top
C9,-18.870,9.000,0,top
C10,-15.870,9.000,0,top
C11,-12.870,9.000,0,top
C12,-9.870,9.000,0,top
C13,-6.870,9.000,0,top
C17,-3.870,21.000,0,top
R8,5.940,9.490,0,top
R9,7.940,9.490,0,top
U5,14.500,9.490,0,top
C18,11.500,9.490,0,top
C19,17.500,9.490,0,top
LED1,26.540,8.430,0,top
R20,26.540,10.930,0,top
LED2,-35.000,26.000,0,top
R21,-35.000,28.500,0,top
SW1,33.460,9.490,0,top
TP1,-12.540,26.500,0,top
TP2,-10.000,26.500,0,top
TP3,-7.460,26.500,0,top
TP4,15.000,26.500,0,top
TP5,17.540,26.500,0,top
TP6,20.080,26.500,0,top
TP7,22.620,26.500,0,top
