Designator,Mid X,Mid Y,Rotation,Layer
SW10,-19.050,34.615,0,top
SW11,0.000,34.615,0,top
SW12,19.050,34.615,0,top
SW13,-19.050,15.565,0,top
SW14,0.000,15.565,0,top
SW15,19.050,15.565,0,top
U3,-12.480,1.640,0,top
U4,0.520,1.640,0,top
Y1,-12.480,-8.860,0,top
R11,-6.480,-8.860,0,top
C15,-16.980,-8.860,0,top
C16,-9.280,-8.860,0,top
C14,0.520,-4.860,0,top
R13,-4.480,-4.360,0,top
SW2,-4.480,-13.860,0,top
R12,-20.480,-4.360,0,top
SW3,-20.480,-13.860,0,top
C4,-18.480,7.640,0,top
C5,-15.480,7.640,0,top
C6,-12.480,7.640,0,top
C7,-9.480,7.640,0,top
C8,-6.480,7.640,0,top
C9,-18.480,-4.360,0,top
C10,-15.480,-4.360,0,top
C11,-12.480,-4.360,0,top
C12,-9.480,-4.360,0,top
C13,-6.480,-4.360,0,top
C17,-3.480,7.640,0,top
J1,-1.820,-37.255,0,top
R1,-6.820,-29.830,0,top
R2,3.180,-29.830,0,top
R3,-4.020,-26.330,0,top
R4,0.380,-26.330,0,top
U1,-1.820,-22.330,0,top
C1,6.180,-29.830,0,top
U2,17.570,-1.950,0,top
C2,15.570,-7.950,0,top
C3,22.570,-7.950,0,top
LED1,9.970,-4.930,0,top
R20,9.970,-2.430,0,top
TP1,-27.180,-0.900,90,top
TP2,-27.180,1.640,90,top
TP3,-27.180,4.180,90,top
