Designator,Mid X,Mid Y,Rotation,Layer
J1,13.200,-24.255,0,top
R1,8.200,-16.830,0,top
R2,18.200,-16.830,0,top
R3,11.000,-13.330,0,top
R4,15.400,-13.330,0,top
U1,13.200,-9.330,0,top
C1,21.200,-16.830,0,top
U3,-11.120,-7.280,0,top
U4,1.880,-7.280,0,top
Y1,-11.120,-17.780,0,top
R11,-5.120,-17.780,0,top
C15,-15.620,-17.780,0,top
C16,-7.920,-17.780,0,top
C14,1.880,-13.780,0,top
R13,-3.120,-13.280,0,top
SW2,-3.120,-22.780,0,top
R12,-19.120,-13.280,0,top
SW3,-19.120,-22.780,0,top
C4,-17.120,-1.280,0,top
C5,-14.120,-1.280,0,top
C6,-11.120,-1.280,0,top
C7,-8.120,-1.280,0,top
C8,-5.120,-1.280,0,top
C9,-17.120,-13.280,0,top
C10,-14.120,-13.280,0,top
C11,-11.120,-13.280,0,top
C12,-8.120,-13.280,0,top
C13,-5.120,-13.280,0,top
C17,-2.120,-1.280,0,top
U2,-7.670,8.620,0,top
C2,-9.670,2.620,0,top
C3,-2.670,2.620,0,top
U5,5.430,8.620,0,top
C20,3.430,2.620,0,top
C21,10.430,2.620,0,top
C22,16.000,8.620,0,top
R30,-31.230,17.890,0,top
D10,-24.230,17.890,0,top
C40,-24.230,14.290,0,top
D11,-17.230,17.890,0,top
C41,-17.230,14.290,0,top
D12,-10.230,17.890,0,top
C42,-10.230,14.290,0,top
D13,-3.230,17.890,0,top
C43,-3.230,14.290,0,top
D14,3.770,17.890,0,top
C44,3.770,14.290,0,top
D15,10.770,17.890,0,top
C45,10.770,14.290,0,top
D16,17.770,17.890,0,top
C46,17.770,14.290,0,top
D17,24.770,17.890,0,top
C47,24.770,14.290,0,top
SW1,30.000,-15.000,0,top
SW4,30.000,-3.000,0,top
LED1,30.000,-22.500,0,top
R20,30.000,-20.000,0,top
TP1,-32.540,-15.000,0,top
TP2,-30.000,-15.000,0,top
TP3,-27.460,-15.000,0,top
