Designator,Mid X,Mid Y,Rotation,Layer
J1,-1.820,-29.555,0,top
R1,-6.820,-22.130,0,top
R2,3.180,-22.130,0,top
R3,-4.020,-18.630,0,top
R4,0.380,-18.630,0,top
U1,-1.820,-14.630,0,top
C1,6.180,-22.130,0,top
U2,2.230,2.760,0,top
C2,0.230,-3.240,0,top
C3,7.230,-3.240,0,top
U3,-19.980,6.340,0,top
U4,-6.980,6.340,0,top
Y1,-19.980,-4.160,0,top
R11,-13.980,-4.160,0,top
C15,-24.480,-4.160,0,top
C16,-16.780,-4.160,0,top
C14,-6.980,-0.160,0,top
R13,-11.980,0.340,0,top
SW2,-11.980,-9.160,0,top
R12,-27.980,0.340,0,top
SW3,-27.980,-9.160,0,top
C4,-25.980,12.340,0,top
C5,-22.980,12.340,0,top
C6,-19.980,12.340,0,top
C7,-16.980,12.340,0,top
C8,-13.980,12.340,0,top
C9,-25.980,0.340,0,top
C10,-22.980,0.340,0,top
C11,-19.980,0.340,0,top
C12,-16.980,0.340,0,top
C13,-13.980,0.340,0,top
C17,-10.980,12.340,0,top
SW10,14.150,0.830,0,top
SW11,23.150,0.830,0,top
LED1,30.070,-0.230,0,top
R20,30.070,2.270,0,top
R30,-31.230,18.960,0,top
D10,-24.230,18.960,0,top
C40,-24.230,15.360,0,top
D11,-17.230,18.960,0,top
C41,-17.230,15.360,0,top
D12,-10.230,18.960,0,top
C42,-10.230,15.360,0,top
D13,-3.230,18.960,0,top
C43,-3.230,15.360,0,top
D14,3.770,18.960,0,top
C44,3.770,15.360,0,top
D15,10.770,18.960,0,top
C45,10.770,15.360,0,top
D16,17.770,18.960,0,top
C46,17.770,15.360,0,top
D17,24.770,18.960,0,top
C47,24.770,15.360,0,top
TP4,21.460,25.000,0,top
TP5,24.000,25.000,0,top
TP6,26.540,25.000,0,top
TP1,7.460,9.500,0,top
TP2,10.000,9.500,0,top
TP3,12.540,9.500,0,top
