Designator,Mid X,Mid Y,Rotation,Layer
J1,-1.750,-18.205,0,top
R1,-4.750,-10.780,0,top
R2,1.250,-10.780,0,top
U1,-1.750,-8.780,0,top
C1,5.250,-10.780,0,top
U2,-25.870,8.660,0,top
C2,-27.870,2.660,0,top
C3,-20.870,2.660,0,top
U3,-5.950,12.250,0,top
U4,7.050,12.250,0,top
Y1,-5.950,1.750,0,top
R11,0.050,1.750,0,top
C15,-10.450,1.750,0,top
C16,-2.750,1.750,0,top
C14,7.050,5.750,0,top
R13,2.050,6.250,0,top
SW2,2.050,-3.250,0,top
R12,-13.950,6.250,0,top
SW3,-13.950,-3.250,0,top
C4,-11.950,18.250,0,top
C5,-8.950,18.250,0,top
C6,-5.950,18.250,0,top
C7,-2.950,18.250,0,top
C8,0.050,18.250,0,top
C9,-11.950,6.250,0,top
C10,-8.950,6.250,0,top
C11,-5.950,6.250,0,top
C12,-2.950,6.250,0,top
C13,0.050,6.250,0,top
C17,3.050,18.250,0,top
U5,15.870,6.740,0,top
C18,12.870,6.740,0,top
C19,18.870,6.740,0,top
R8,22.430,6.740,0,top
R9,24.430,6.740,0,top
LED1,28.620,5.680,0,top
R20,28.620,8.180,0,top
TP1,32.700,-2.540,90,top
TP2,32.700,0.000,90,top
TP3,32.700,2.540,90,top
