Designator,Mid X,Mid Y,Rotation,Layer
J1,-1.820,-29.705,0,top
R1,-6.820,-22.280,0,top
R2,3.180,-22.280,0,top
R3,-4.020,-18.780,0,top
R4,0.380,-18.780,0,top
U1,-1.820,-14.780,0,top
C1,6.180,-22.280,0,top
U2,-12.540,-1.820,0,top
C2,-14.540,-7.820,0,top
C3,-7.540,-7.820,0,top
U3,-2.270,23.750,0,top
U4,10.730,23.750,0,top
Y1,-2.270,13.250,0,top
R11,3.730,13.250,0,top
C15,-6.770,13.250,0,top
C16,0.930,13.250,0,top
C14,10.730,17.250,0,top
R13,5.730,17.750,0,top
SW2,5.730,8.250,0,top
R12,-10.270,17.750,0,top
SW3,-10.270,8.250,0,top
C4,-8.270,29.750,0,top
C5,-5.270,29.750,0,top
C6,-2.270,29.750,0,top
C7,0.730,29.750,0,top
C8,3.730,29.750,0,top
C9,-8.270,17.750,0,top
C10,-5.270,17.750,0,top
C11,-2.270,17.750,0,top
C12,0.730,17.750,0,top
C13,3.730,17.750,0,top
C17,6.730,29.750,0,top
SW1,-0.620,-3.740,0,top
SW10,13.220,-3.740,0,top
LED1,6.300,-4.800,0,top
R20,6.300,-2.300,0,top
TP1,-17.000,21.210,90,top
TP2,-17.000,23.750,90,top
TP3,-17.000,26.290,90,top
